Timestamp,SCOP:AMRF:RF01:AI_MEAS1
2024/04/09 04:59:59.049,-0.089
2024/04/09 05:59:59.953,-0.087
2024/04/11 16:59:59.510,-0.351
2024/04/11 18:59:58.440,-0.095
2024/04/11 20:49:38.572,-0.085
2024/04/11 22:59:58.840,-0.087
2024/04/12 00:59:59.616,-0.081
2024/04/12 02:59:59.654,-0.077
2024/04/12 04:59:54.574,-0.079
2024/04/12 06:59:59.546,-0.077
2024/04/12 08:59:59.192,-0.085
2024/04/12 10:59:51.520,-0.085
2024/04/12 12:59:54.337,-0.085
2024/04/12 14:59:55.545,-0.083
2024/04/12 16:59:59.521,-0.079
2024/04/12 18:59:58.511,-0.085
2024/04/12 20:59:58.817,-0.083
2024/04/12 22:59:57.231,-0.085
2024/04/13 00:59:51.978,-0.087
2024/04/13 02:48:55.883,-0.081
2024/04/13 04:58:41.023,-0.083
2024/04/13 06:59:56.363,-0.089
2024/04/13 08:59:58.779,-0.081
2024/04/13 10:59:49.047,-0.085
2024/04/13 12:59:50.231,-0.087
2024/04/13 14:59:59.681,-0.087
2024/04/13 16:59:57.457,-0.085
2024/04/13 18:59:59.566,-0.081
2024/04/13 20:59:59.115,-0.081
2024/04/13 22:59:51.051,-0.081
2024/04/14 00:55:02.085,-0.087
2024/04/14 02:59:50.554,-0.099
2024/04/14 04:59:58.588,-0.089
2024/04/14 06:59:54.070,-0.085
2024/04/14 08:59:59.985,-0.083
2024/04/14 10:59:59.734,-0.085
2024/04/14 12:59:59.570,-0.081
2024/04/14 14:59:53.596,-0.085
2024/04/14 16:59:55.925,-0.083
2024/04/14 18:59:56.737,-0.081
2024/04/14 20:59:58.212,-0.085
2024/04/14 22:59:59.622,-0.083
2024/04/15 00:59:54.310,-0.087
2024/04/15 02:59:59.690,-0.087
2024/04/15 04:59:55.966,-0.083
2024/04/15 06:59:55.168,-0.085
2024/04/15 08:59:52.146,-0.047
2024/04/15 10:59:54.323,-0.047
2024/04/15 12:59:59.397,-0.089
2024/04/15 14:59:55.299,-0.095
2024/04/15 16:59:56.193,-0.091
2024/04/15 18:59:59.593,-0.091
2024/04/15 20:59:54.569,-0.095
2024/04/15 22:59:59.843,-0.091
2024/04/16 00:59:54.995,-0.093
2024/04/16 02:59:58.500,-0.091
2024/04/16 04:59:59.657,-0.087
2024/04/16 06:59:52.504,-0.095
2024/04/16 08:59:50.027,-0.089
2024/04/16 10:59:56.702,-0.091
2024/04/16 12:59:59.527,-0.085
2024/04/16 14:59:59.470,-0.085
2024/04/16 16:59:56.331,-0.081
2024/04/16 18:59:53.984,-0.083
2024/04/16 20:59:59.867,-0.081
2024/04/16 22:59:59.233,-0.085
2024/04/17 00:59:55.345,-0.081
2024/04/17 02:59:53.854,-0.087
2024/04/17 04:59:56.028,-0.079
2024/04/17 06:59:59.351,-0.085
2024/04/17 08:59:59.717,-0.407
2024/04/17 10:59:56.523,-0.375
2024/04/17 12:59:57.750,-0.093
2024/04/17 14:59:58.739,-0.093
2024/04/17 16:19:39.361,-0.087
2024/04/17 18:59:59.494,-0.113
2024/04/17 20:59:56.147,-0.083
2024/04/17 22:59:59.862,-0.087
2024/04/18 00:59:57.992,-0.091
2024/04/18 02:59:59.785,-0.093
2024/04/18 04:58:47.512,-0.095
2024/04/18 06:59:51.417,-0.093
2024/04/18 08:59:59.811,-0.103
2024/04/18 10:59:58.865,-0.105
2024/04/18 12:59:58.876,-0.093
2024/04/18 14:59:59.492,-0.097
2024/04/18 16:59:50.867,-0.097
2024/04/18 18:59:54.953,-0.087
2024/04/18 19:42:15.718,-0.095
2024/04/18 22:59:30.396,-0.087
2024/04/19 00:59:46.470,-0.095
2024/04/19 02:59:59.867,-0.101
2024/04/19 04:59:54.517,-0.097
2024/04/19 06:59:53.959,-0.085
2024/04/19 08:59:58.254,-0.091
2024/04/19 10:59:53.426,-0.091
2024/04/19 12:59:53.188,-0.093
2024/04/19 14:59:59.789,-0.095
2024/04/19 16:59:59.786,-0.091
2024/04/19 18:59:57.232,-0.095
2024/04/19 20:59:59.510,-0.087
2024/04/19 22:59:52.826,-0.093
2024/04/20 00:59:51.571,-0.095
2024/04/20 02:59:59.801,-0.093
2024/04/20 04:59:55.524,-0.085
2024/04/20 06:59:54.558,-0.095
2024/04/20 08:59:50.091,-0.085
2024/04/20 10:59:53.895,-0.093
2024/04/20 12:59:57.867,-0.091
2024/04/20 14:59:51.766,-0.093
2024/04/20 16:16:08.310,-0.095
2024/04/20 18:59:52.175,-0.095
2024/04/20 20:59:53.023,-0.099
2024/04/20 22:59:53.607,-0.091
2024/04/21 00:59:58.188,-0.101
2024/04/21 02:59:52.660,-0.097
2024/04/21 04:59:58.890,-0.097
2024/04/21 06:59:59.937,-0.097
2024/04/21 08:59:53.892,-0.097
2024/04/21 10:53:44.723,-0.097
2024/04/21 12:59:58.103,-0.093
2024/04/21 14:59:59.949,-0.093
2024/04/21 16:59:59.306,-0.091
2024/04/21 18:53:06.217,-0.087
2024/04/21 20:59:50.020,-0.093
2024/04/21 22:59:59.403,-0.103
2024/04/22 00:59:59.888,-0.099
2024/04/22 02:59:59.800,-0.099
2024/04/22 04:59:59.764,-0.101
2024/04/22 06:59:58.067,-0.093
2024/04/22 08:59:59.208,-0.111
2024/04/22 10:59:52.182,-0.091
2024/04/22 12:59:59.502,-0.099
2024/04/22 14:41:26.722,-0.099
2024/04/22 16:59:59.536,-0.089
2024/04/22 18:59:51.079,-0.107
2024/04/22 20:59:59.261,-0.113
2024/04/22 22:59:52.766,-0.103
2024/04/23 00:59:58.944,-0.107
2024/04/23 02:39:06.078,-0.109
2024/04/25 16:12:30.473,-0.051
2024/04/26 10:58:36.678,-0.037
2024/04/26 16:59:59.702,-0.165
2024/04/26 17:09:23.932,-0.167
2024/04/26 23:24:00.004,-0.167
2024/05/01 10:58:17.326,-0.043
2024/05/01 12:43:51.856,-0.019
2024/05/04 12:59:59.199,-0.4309922
2024/05/04 14:47:53.756,-0.083
2024/05/04 16:59:59.735,-0.073
2024/05/04 18:59:58.425,-0.089
2024/05/04 20:54:47.042,-0.083
2024/05/04 22:59:59.229,-0.087
2024/05/05 00:59:58.379,-0.089
2024/05/05 02:59:59.676,-0.091
2024/05/05 04:56:25.248,-0.093
2024/05/05 08:59:51.039,-0.091
2024/05/05 10:59:59.806,-0.097
2024/05/05 12:59:57.280,-0.099
2024/05/05 14:59:59.920,-0.095
2024/05/05 16:59:59.959,-0.093
2024/05/05 18:59:53.256,-0.099
2024/05/05 20:59:52.513,-0.079
2024/05/05 22:59:59.143,-0.097
2024/05/06 00:59:59.727,-0.087
2024/05/06 02:59:56.296,-0.091
2024/05/06 04:59:56.777,-0.093
2024/05/06 06:59:54.498,-0.093
2024/05/06 08:59:53.751,-0.105
2024/05/06 10:59:58.839,-0.103
2024/05/06 12:59:59.904,-0.121
2024/05/06 14:59:58.367,-0.127
2024/05/06 16:59:55.257,-0.121
2024/05/06 18:59:59.996,-0.117
2024/05/06 20:59:54.700,-0.127
2024/05/06 22:59:55.992,-0.4309922
2024/05/07 00:59:52.758,-0.113
2024/05/07 02:59:49.840,-0.125
2024/05/07 04:59:17.327,-0.117
2024/05/09 18:59:59.295,-0.089
2024/05/09 20:58:49.441,-0.083
2024/05/09 22:59:54.198,-0.265
2024/05/10 00:59:53.842,-0.087
2024/05/10 02:59:59.991,-0.095
2024/05/10 04:45:27.080,-0.083
2024/05/10 06:22:00.153,-0.085
2024/05/10 08:59:59.127,-0.093
2024/05/10 10:59:59.771,-0.091
2024/05/10 12:59:55.831,-0.097
2024/05/10 14:57:41.518,-0.091
2024/05/10 16:59:57.924,-0.093
2024/05/10 18:59:59.896,-0.097
2024/05/10 20:59:58.978,-0.091
2024/05/10 22:59:58.866,-0.095
2024/05/11 00:59:53.780,-0.087
2024/05/11 02:59:55.863,-0.087
2024/05/11 04:59:56.588,-0.093
2024/05/11 06:59:59.917,-0.089
2024/05/11 08:59:59.832,-0.087
2024/05/11 10:59:09.937,-0.085
2024/05/11 12:59:58.630,-0.087
2024/05/11 14:59:55.012,-0.089
2024/05/11 16:59:54.679,-0.085
2024/05/11 18:59:56.699,-0.103
2024/05/11 20:53:22.930,-0.111
2024/05/11 22:56:51.718,-0.121
2024/05/12 00:59:59.771,-0.117
2024/05/12 02:59:59.293,-0.109
2024/05/12 04:59:56.555,-0.103
2024/05/12 06:36:50.310,-0.113
2024/05/12 08:59:59.752,-0.115
2024/05/12 10:59:54.715,-0.105
2024/05/12 12:59:59.969,-0.109
2024/05/12 14:57:57.336,-0.109
2024/05/12 16:59:59.989,-0.119
2024/05/12 18:59:30.823,-0.097
2024/05/12 20:59:55.554,-0.105
2024/05/12 22:59:58.299,-0.107
2024/05/13 00:59:54.726,-0.117
2024/05/13 02:59:54.366,-0.113
2024/05/13 04:59:59.879,-0.111
2024/05/13 06:54:49.504,-0.113
2024/05/13 08:59:59.987,-0.105
2024/05/13 10:59:59.584,-0.047
2024/05/13 12:59:59.807,-0.115
2024/05/13 14:59:59.745,-0.111
2024/05/13 16:59:57.348,-0.105
2024/05/13 18:59:59.600,-0.123
2024/05/13 20:59:58.151,-0.115
2024/05/13 22:59:50.056,-0.115
2024/05/14 00:59:53.033,-0.117
2024/05/14 02:59:53.074,-0.105
2024/05/14 04:59:59.669,-0.115
2024/05/14 06:59:59.987,-0.119
2024/05/14 08:59:58.398,-0.133
2024/05/14 10:59:55.870,-0.113
2024/05/14 12:59:59.620,-0.115
2024/05/14 14:59:59.586,-0.113
2024/05/14 16:59:59.890,-0.111
2024/05/14 18:53:39.088,-0.117
2024/05/14 20:59:51.198,-0.113
2024/05/14 22:59:59.971,-0.109
2024/05/15 00:59:57.670,-0.131
2024/05/15 02:59:58.904,-0.117
2024/05/15 04:59:58.348,-0.119
2024/05/15 06:58:20.030,-0.121
2024/05/15 08:59:58.435,-0.121
2024/05/15 10:59:59.830,-0.117
2024/05/15 12:59:59.953,-0.237
2024/05/15 14:59:59.848,-0.115
2024/05/15 16:59:58.425,-0.107
2024/05/15 17:48:44.854,-0.223
2024/05/15 20:39:09.907,-0.123
2024/05/15 22:59:54.960,-0.117
2024/05/16 00:59:51.690,-0.119
2024/05/16 02:13:07.485,-0.121
2024/05/16 04:59:59.534,-0.113
2024/05/16 06:59:52.265,-0.117
2024/05/16 08:59:57.034,-0.123
2024/05/16 10:59:50.960,-0.305
2024/05/16 12:59:55.971,-0.115
2024/05/16 14:59:55.306,-0.123
2024/05/16 16:59:51.925,-0.121
2024/05/16 18:59:34.673,-0.113
2024/05/16 20:59:59.570,-0.117
2024/05/16 22:59:56.537,-0.111
2024/05/17 00:59:01.660,-0.115
2024/05/17 02:59:51.314,-0.131
2024/05/17 04:59:50.580,-0.113
2024/05/17 06:59:56.382,-0.119
2024/05/17 08:59:50.141,-0.015
2024/05/17 10:59:57.982,-0.105
2024/05/17 12:59:59.755,-0.095
2024/05/17 14:59:56.602,-0.093
2024/05/17 16:59:56.646,-0.089
2024/05/17 18:59:58.504,-0.115
2024/05/17 20:59:57.393,-0.121
2024/05/17 22:59:51.784,-0.111
2024/05/18 00:59:59.841,-0.117
2024/05/18 02:59:46.742,-0.119
2024/05/18 04:59:59.893,-0.103
