Timestamp,SCOP:AMRF:RF01:AI_MEAS1,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF03:AI_MEAS1,SCOP:AMRF:RF01:AI_MEAS4,SCOP:AMRF:RF01:AI_MEAS2,SCOP:AMRF:RF01:AI_MEAS3,SCOP:AMRF:RF03:AI_MEAS2,SCOP:AMRF:RF03:AI_MEAS3
2024/04/01 14:07:38.685,N/A,N/A,N/A,N/A,-0.085,N/A,-0.111,N/A,N/A
2024/04/01 14:07:39.254,N/A,N/A,N/A,N/A,N/A,-0.095,-0.107,N/A,N/A
2024/04/01 14:07:39.847,N/A,N/A,N/A,N/A,N/A,-0.097,N/A,N/A,N/A
2024/04/01 14:07:39.911,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.087,N/A
2024/04/01 14:07:40.378,N/A,N/A,N/A,N/A,-0.091,-0.103,-0.113,N/A,N/A
2024/04/01 14:07:40.491,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:07:40.992,N/A,N/A,N/A,N/A,-0.087,-0.099,-0.111,N/A,N/A
2024/04/01 14:07:41.118,N/A,N/A,N/A,-0.097,N/A,N/A,N/A,-0.081,-0.089
2024/04/01 14:07:41.540,N/A,N/A,N/A,N/A,N/A,-0.097,N/A,N/A,N/A
2024/04/01 14:07:41.651,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.083,-0.091
2024/04/01 14:07:42.127,N/A,N/A,N/A,N/A,N/A,-0.101,-0.109,N/A,N/A
2024/04/01 14:07:42.225,N/A,N/A,N/A,-0.099,N/A,N/A,N/A,N/A,-0.089
2024/04/01 14:07:42.671,N/A,N/A,N/A,N/A,-0.085,-0.097,N/A,N/A,N/A
2024/04/01 14:07:42.758,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.093
2024/04/01 14:07:43.219,N/A,N/A,N/A,N/A,-0.089,-0.103,-0.111,N/A,N/A
2024/04/01 14:07:43.291,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,N/A,-0.095
2024/04/01 14:07:43.755,N/A,N/A,N/A,N/A,-0.087,-0.101,N/A,N/A,N/A
2024/04/01 14:07:43.827,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.085,-0.093
2024/04/01 14:07:44.283,N/A,N/A,N/A,N/A,-0.085,-0.099,N/A,N/A,N/A
2024/04/01 14:07:44.358,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,N/A,-0.091
2024/04/01 14:07:44.850,N/A,N/A,N/A,N/A,-0.087,N/A,N/A,N/A,N/A
2024/04/01 14:07:44.914,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.093
2024/04/01 14:07:45.362,N/A,N/A,N/A,N/A,-0.089,N/A,N/A,N/A,N/A
2024/04/01 14:07:45.459,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.083,-0.089
2024/04/01 14:07:45.980,N/A,N/A,N/A,N/A,-0.081,N/A,N/A,N/A,N/A
2024/04/01 14:07:46.064,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.085,-0.093
2024/04/01 14:07:46.540,N/A,N/A,N/A,N/A,-0.085,N/A,N/A,N/A,N/A
2024/04/01 14:07:46.621,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,N/A,-0.091
2024/04/01 14:07:47.670,N/A,N/A,N/A,N/A,N/A,N/A,-0.107,N/A,N/A
2024/04/01 14:07:47.714,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:07:48.203,N/A,N/A,N/A,N/A,N/A,-0.097,-0.109,N/A,N/A
2024/04/01 14:07:48.268,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:07:48.760,N/A,N/A,N/A,N/A,-0.087,-0.101,-0.111,N/A,N/A
2024/04/01 14:07:48.818,N/A,N/A,N/A,-0.099,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:07:49.308,N/A,N/A,N/A,N/A,-0.083,-0.097,-0.107,N/A,N/A
2024/04/01 14:07:49.370,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.089
2024/04/01 14:07:49.857,N/A,N/A,N/A,N/A,N/A,-0.095,-0.105,N/A,N/A
2024/04/01 14:07:49.925,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,-0.091
2024/04/01 14:07:50.418,N/A,N/A,N/A,N/A,-0.085,-0.099,-0.109,N/A,N/A
2024/04/01 14:07:50.500,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:07:51.033,N/A,N/A,N/A,N/A,-0.087,-0.101,-0.111,N/A,N/A
2024/04/01 14:07:51.100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.087,-0.095
2024/04/01 14:07:51.576,N/A,N/A,N/A,N/A,-0.089,-0.099,N/A,N/A,N/A
2024/04/01 14:07:51.672,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.083,-0.093
2024/04/01 14:07:52.138,N/A,N/A,N/A,N/A,N/A,-0.101,N/A,N/A,N/A
2024/04/01 14:07:52.237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.087,-0.091
2024/04/01 14:07:52.699,N/A,N/A,N/A,N/A,-0.083,-0.095,-0.107,N/A,N/A
2024/04/01 14:07:52.798,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.083,N/A
2024/04/01 14:07:53.275,N/A,N/A,N/A,N/A,-0.087,-0.099,-0.109,N/A,N/A
2024/04/01 14:07:53.313,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.085,-0.093
